,DailyCases,Deceased,Hospitalised,InIntensiveCareUnit,RequiresOxygenSupplementation,DailyHospitalised,DailyICU,DailyOxygen,SeverityRate(%),Daily Discharged,Daily Recovery,people_vaccinated,population,people_fully_vaccinated,FirstDose(%),SecondDose(%)
2020-01-23,1.0,,,,,0.0,0.0,0.0,0.0,,,,5896684.0,,,
2020-01-24,2.0,,,,,0.0,0.0,0.0,0.0,,,,5896684.0,,,
2020-01-25,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,5896684.0,,,
2020-01-26,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-01-27,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-01-28,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-01-29,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,5896684.0,,,
2020-01-30,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-01-31,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-01,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-02,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-03,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,5896684.0,,,
2020-02-04,6.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-02-05,4.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-06,0.0,,,,,0.0,0.0,0.0,,0.0,0.0,,5896684.0,,,
2020-02-07,2.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-02-08,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-09,7.0,,,,,0.0,0.0,0.0,0.0,4.0,1.0,,5896684.0,,,
2020-02-10,5.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-02-11,2.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,5896684.0,,,
2020-02-12,3.0,,,,,0.0,0.0,0.0,0.0,6.0,3.0,,5896684.0,,,
2020-02-13,8.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-02-14,9.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,5896684.0,,,
2020-02-15,5.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-02-16,3.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-02-17,2.0,,,,,0.0,0.0,0.0,0.0,5.0,3.0,,5896684.0,,,
2020-02-18,4.0,,,,,0.0,0.0,0.0,0.0,5.0,1.0,,5896684.0,,,
2020-02-19,3.0,,,,,0.0,0.0,0.0,0.0,5.0,2.0,,5896684.0,,,
2020-02-20,0.0,,,,,0.0,0.0,0.0,,3.0,2.0,,5896684.0,,,
2020-02-21,1.0,,,,,0.0,0.0,0.0,0.0,10.0,9.0,,5896684.0,,,
2020-02-22,0.0,,,,,0.0,0.0,0.0,,2.0,0.0,,5896684.0,,,
2020-02-23,4.0,,,,,0.0,0.0,0.0,0.0,2.0,2.0,,5896684.0,,,
2020-02-24,0.0,,,,,0.0,0.0,0.0,,2.0,1.0,,5896684.0,,,
2020-02-25,2.0,,,,,0.0,0.0,0.0,0.0,5.0,4.0,,5896684.0,,,
2020-02-26,2.0,,,,,0.0,0.0,0.0,0.0,4.0,2.0,,5896684.0,,,
2020-02-27,0.0,,,,,0.0,0.0,0.0,,4.0,1.0,,5896684.0,,,
2020-02-28,0.0,,,,,0.0,0.0,0.0,,3.0,1.0,,5896684.0,,,
2020-02-29,9.0,,,,,0.0,0.0,0.0,0.0,3.0,0.0,,5896684.0,,,
2020-03-01,4.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,5896684.0,,,
2020-03-02,2.0,,,,,0.0,0.0,0.0,0.0,4.0,2.0,,5896684.0,,,
2020-03-03,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-03-04,0.0,,,,,0.0,0.0,0.0,,1.0,0.0,,5896684.0,,,
2020-03-05,7.0,,,,,0.0,0.0,0.0,0.0,2.0,0.0,,5896684.0,,,
2020-03-06,13.0,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,5896684.0,,,
2020-03-07,8.0,,,,,0.0,0.0,0.0,0.0,8.0,0.0,,5896684.0,,,
2020-03-08,12.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
2020-03-09,0.0,,,,,0.0,0.0,0.0,,3.0,0.0,,5896684.0,,,
2020-03-10,10.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,5896684.0,,,
